text,label
mujhe lagta hai ki marna hi sabse accha vikalp hai,2
i just want to be free from this pain,2
main jeene ke liye taiyar nahi hu,2
koi mujhe madad karo,2
i feel like im losing my mind,2
mujhe lagta hai ki main pagal ho raha hu,2
i just want to die in peace,2
meri zindagi ki koi ahmiyat nahi hai,2
mujhe apne aap ko khatam karna hai,2
i dont want to live anymore,2
main marna chahta hu kyunki zindagi mujhe bore karti hai,2
nobody would even notice if i die,2
i feel so dead inside,2
mujhe lagta hai ki main apni zindagi se door ja raha hu,2
aaj mausam kaisa hai?,3
python sikhna hai,3
tum robot ho?,3
who made you?,3
ipl mein kon si team aage hai?,3
burger ya pizza?,3
2+2 kitna hota hai?,3
duniya ki sabse badi mountain kaun si hai?,3
"maine ek naya laptop lena hai, konsi company acchi hai?",3
tumhara creator kaun hai?,3
india mein kitne states hain?,3
cricket ka sabse tezi bowler kaun hai?,3
mujhe ek accha coding course chahiye,3
kya tum hindi samajhte ho?,3
aaj kal kaun si phone ka company sabse acchi hai?,3
bhuvn ke sabse garam jagah kaun si hai?,3
"mujhe ek naya camera lena hai, konsi company acchi hai?",3
ipl mein sabse jyada run banane wala kaun hai?,3
tum mere liye ek code likh sakte ho?,3
kya tum mujhe ek random fact bata sakte ho?,3
ek naye laptop ke liye kaun si processor acchi hai?,3
india ki sabse badi nadi kaun si hai?,3
kya tum ek game khel sakte ho?,3
burger mein kitni calories hoti hain?,3
ipl mein sabse tezi batsman kaun hai?,3
tumhare paas kitne RAM hain?,3
duniya ki sabse badi library kaun si hai?,3
india mein kitne national park hain?,3
ipl mein sabse jyada wicket lene wala kaun hai?,3
"maine ek naya smartphone lena hai, konsi company acchi hai?",3
tumhara operating system kaun sa hai?,3
konsi company ka tv sabse accha hai?,3
ipl mein sabse purane team kaun si hai?,3
"pizza ya burger, kaun si acchi hai?",3
india ki rajdhani kaun si hai?,3
ipl mein sabse jyada sixes lagane wala kaun hai?,3
kya tum mujhe ek programming language sikhane mein madad kar sakte ho?,3
india mein kitne high court hain?,3
ipl mein sabse naya team kaun si hai?,3
tumhare liye ek accha coding challenge kaun sa hai?,3
konsi company ka headphones sabse accha hai?,3
ipl mein sabse jyada runs banane wali team kaun si hai?,3
"maine ek naya tablet lena hai, konsi company acchi hai?",3
india ki sabse badi lake kaun si hai?,3
hey!,4
kaise ho bhai?,4
kya scene hai aaj?,4
good morning!,4
"namaste, kya haal hai?",4
"hi, how are you?",4
"aur bata, kya chal raha hai?",4
"bore ho raha hu, kuch karte hain?",4
"kya chal raha hai, bhai?",4
"hello, kaise ho?",4
"what's up, dost?",4
"kya haal hai, sab theek?",4
"hey, how's it going?",4
"namaste, sab kaise hain?",4
"kaise ho, aur bata?",4
"chalo, kya plan hai aaj?",4
"good afternoon, kya chal raha hai?",4
"kya hai, bhai, bore ho raha hu",4
"hi, kya scene hai?",4
"kya haal hai, dost?",4
"hello, kya chal raha hai?",4
"how are you, bhai?",4
"namaste, kaise ho?",4
"aur bata, kya hai?",4
"kya chal raha hai, sab theek?",4
"bore ho raha hu, kuch naya karte hain",4
"kya scene hai aaj, bhai?",4
"good evening, kya haal hai?",4
"hey, kya chal raha hai?",4
"kaise ho, dost?",4
"kya haal hai, bhai?",4
"hello, aur bata?",4
"how's it going, kya chal raha hai?",4
"kya hai, sab theek?",4
"namaste, kya scene hai?",4
"kya chal raha hai, bore ho raha hu",4
"chalo, kya plan hai?",4
"kaise ho, bhai, aur bata?",4
"good morning, kya haal hai?",4
"kya haal hai, kya chal raha hai?",4
